iter	Passed	Remaining
0	4	4334
1	8	4064
2	11	3868
3	15	3961
4	19	3911
5	23	3815
6	26	3778
7	31	3873
8	34	3823
9	38	3788
10	41	3751
11	45	3753
12	50	3808
13	53	3767
14	57	3743
15	60	3731
16	65	3759
17	68	3740
18	72	3719
19	75	3709
20	80	3750
21	84	3741
22	87	3721
23	91	3710
24	95	3735
25	99	3719
26	102	3707
27	106	3687
28	110	3711
29	115	3735
30	119	3721
31	122	3697
32	125	3671
33	129	3682
34	132	3659
35	136	3647
36	138	3607
37	141	3585
38	145	3576
39	148	3560
40	151	3544
41	154	3526
42	157	3511
43	161	3502
44	164	3486
45	167	3471
46	170	3456
47	174	3467
48	177	3454
49	181	3442
50	184	3427
51	187	3417
52	191	3427
53	195	3433
54	199	3423
55	202	3411
56	205	3401
57	210	3411
58	214	3415
59	217	3410
60	221	3414
61	260	3940
62	266	3961
63	274	4010
64	277	3996
65	281	3979
66	284	3965
67	288	3958
68	291	3939
69	295	3921
70	298	3902
71	301	3883
72	305	3880
73	309	3867
74	312	3854
75	315	3838
76	319	3831
77	322	3817
78	326	3801
79	329	3786
80	332	3774
81	336	3772
82	340	3758
83	343	3744
84	346	3730
85	349	3715
86	353	3713
87	357	3700
88	360	3687
89	363	3678
90	369	3686
91	372	3673
92	375	3661
93	379	3654
94	382	3647
95	387	3651
96	390	3639
97	394	3635
98	398	3623
99	402	3623
100	406	3618
101	411	3621
102	415	3616
103	419	3612
104	425	3622
105	428	3610
106	432	3607
107	435	3597
108	439	3589
109	442	3578
110	445	3568
111	450	3569
112	453	3558
113	456	3547
114	459	3536
115	462	3527
116	467	3527
117	470	3519
118	474	3509
119	477	3499
120	481	3496
121	484	3485
122	487	3476
123	490	3466
124	493	3456
125	498	3454
126	501	3445
127	504	3437
128	507	3429
129	511	3424
130	517	3430
131	520	3421
132	523	3414
133	526	3405
134	531	3403
135	534	3394
136	537	3385
137	540	3377
138	544	3373
139	547	3365
140	550	3356
141	554	3348
142	557	3339
143	561	3337
144	564	3329
145	567	3320
146	570	3312
147	573	3304
148	578	3301
149	581	3293
150	584	3285
151	588	3283
152	592	3281
153	595	3273
154	599	3265
155	604	3269
156	607	3264
157	611	3259
158	616	3258
159	619	3252
160	622	3244
161	626	3242
162	629	3234
163	633	3231
164	637	3224
165	641	3222
166	644	3215
167	648	3209
168	651	3202
169	654	3194
170	658	3192
171	661	3185
172	665	3179
173	668	3172
174	671	3164
175	675	3161
176	677	3149
177	680	3142
178	683	3135
179	686	3127
180	690	3124
181	693	3118
182	697	3112
183	700	3105
184	703	3099
185	707	3097
186	710	3090
187	713	3082
188	716	3075
189	719	3069
190	724	3068
191	727	3062
192	730	3055
193	733	3048
194	737	3046
195	741	3040
196	744	3034
197	747	3027
198	750	3020
199	754	3018
200	757	3011
201	760	3004
202	763	2997
203	766	2991
204	771	2992
205	774	2986
206	777	2980
207	781	2974
208	785	2972
209	788	2968
210	792	2961
211	795	2955
212	798	2949
213	804	2953
214	808	2950
215	811	2946
216	815	2941
217	819	2939
218	823	2935
219	825	2926
220	828	2919
221	831	2914
222	835	2912
223	838	2906
224	842	2900
225	845	2896
226	848	2890
227	853	2888
228	856	2883
229	859	2878
230	862	2872
231	866	2869
232	869	2863
233	873	2857
234	876	2852
235	879	2846
236	883	2843
237	886	2838
238	889	2833
239	892	2827
240	896	2822
241	900	2820
242	903	2814
243	907	2812
244	911	2807
245	915	2806
246	919	2803
247	922	2797
248	925	2792
249	929	2787
250	933	2784
251	936	2780
252	939	2774
253	942	2768
254	946	2765
255	949	2760
256	953	2755
257	956	2750
258	959	2745
259	963	2742
260	966	2737
261	969	2732
262	972	2726
263	976	2721
264	980	2718
265	983	2713
266	986	2708
267	989	2702
268	992	2697
269	1015	2744
270	1019	2742
271	1025	2744
272	1083	2884
273	1088	2884
274	1095	2888
275	1115	2927
276	1121	2927
277	1127	2928
278	1131	2924
279	1134	2917
280	1137	2911
281	1141	2905
282	1145	2901
283	1148	2894
284	1151	2889
285	1155	2885
286	1160	2882
287	1163	2877
288	1167	2872
289	1170	2865
290	1173	2859
291	1177	2855
292	1180	2849
293	1183	2842
294	1186	2836
295	1191	2833
296	1194	2827
297	1197	2821
298	1200	2814
299	1203	2808
300	1207	2803
301	1210	2797
302	1214	2794
303	1218	2788
304	1221	2782
305	1225	2780
306	1230	2776
307	1233	2771
308	1237	2767
309	1242	2766
310	1246	2761
311	1249	2755
312	1252	2749
313	1257	2746
314	1260	2740
315	1263	2734
316	1266	2729
317	1269	2722
318	1273	2719
319	1276	2713
320	1279	2707
321	1283	2701
322	1286	2695
323	1290	2693
324	1293	2687
325	1297	2681
326	1300	2675
327	1304	2671
328	1307	2666
329	1310	2660
330	1313	2654
331	1316	2649
332	1320	2645
333	1324	2640
334	1327	2635
335	1330	2629
336	1333	2624
337	1338	2621
338	1341	2615
339	1344	2609
340	1347	2603
341	1350	2598
342	1354	2595
343	1357	2589
344	1361	2584
345	1364	2579
346	1368	2575
347	1372	2571
348	1375	2565
349	1378	2560
350	1381	2555
351	1386	2551
352	1389	2546
353	1392	2540
354	1395	2535
355	1398	2529
356	1402	2526
357	1405	2521
358	1408	2515
359	1413	2512
360	1417	2509
361	1421	2505
362	1424	2500
363	1428	2496
364	1433	2493
365	1437	2489
366	1441	2486
367	1445	2481
368	1449	2478
369	1452	2473
370	1455	2467
371	1458	2462
372	1461	2457
373	1465	2453
374	1469	2448
375	1472	2443
376	1475	2438
377	1478	2433
378	1482	2429
379	1486	2424
380	1489	2419
381	1492	2414
382	1495	2409
383	1499	2405
384	1502	2400
385	1505	2395
386	1508	2389
387	1511	2384
388	1515	2381
389	1519	2376
390	1522	2371
391	1525	2365
392	1529	2361
393	1532	2357
394	1537	2354
395	1540	2349
396	1543	2343
397	1547	2340
398	1550	2335
399	1553	2330
400	1556	2325
401	1560	2320
402	1564	2317
403	1567	2312
404	1570	2307
405	1573	2302
406	1578	2299
407	1581	2294
408	1584	2289
409	1587	2284
410	1590	2279
411	1594	2276
412	1598	2271
413	1601	2266
414	1604	2261
415	1607	2256
416	1612	2255
417	1616	2250
418	1619	2245
419	1622	2240
420	1626	2237
421	1631	2235
422	1635	2230
423	1639	2227
424	1644	2224
425	1647	2219
426	1650	2214
427	1653	2210
428	1656	2205
429	1661	2202
430	1664	2197
431	1667	2192
432	1670	2187
433	1675	2184
434	1678	2180
435	1681	2175
436	1684	2170
437	1688	2165
438	1691	2162
439	1695	2157
440	1698	2152
441	1701	2147
442	1704	2143
443	1708	2139
444	1711	2134
445	1714	2130
446	1718	2125
447	1721	2121
448	1725	2117
449	1728	2112
450	1731	2107
451	1734	2102
452	1738	2099
453	1741	2094
454	1744	2089
455	1747	2084
456	1750	2080
457	1754	2076
458	1757	2071
459	1760	2067
460	1764	2062
461	1767	2058
462	1771	2054
463	1774	2049
464	1777	2045
465	1780	2040
466	1784	2036
467	1788	2032
468	1791	2028
469	1794	2023
470	1797	2018
471	1800	2014
472	1804	2010
473	1808	2006
474	1812	2003
475	1816	1999
476	1820	1996
477	1824	1992
478	1828	1988
479	1832	1984
480	1836	1981
481	1864	2003
482	1869	2001
483	1875	1999
484	1881	1997
485	1886	1995
486	1890	1991
487	1893	1986
488	1896	1981
489	1900	1978
490	1903	1973
491	1906	1968
492	1909	1963
493	1912	1959
494	1917	1956
495	1921	1952
496	1924	1947
497	1927	1943
498	1930	1938
499	1934	1934
500	1938	1930
501	1940	1925
502	1943	1920
503	1947	1916
504	1951	1912
505	1954	1908
506	1957	1903
507	1960	1898
508	1964	1895
509	1967	1890
510	1970	1886
511	1973	1881
512	1977	1876
513	1981	1873
514	1984	1868
515	1987	1864
516	1990	1860
517	1993	1855
518	1998	1851
519	2001	1847
520	2004	1842
521	2007	1838
522	2010	1833
523	2014	1830
524	2017	1825
525	2020	1821
526	2025	1818
527	2030	1814
528	2034	1811
529	2037	1807
530	2041	1803
531	2046	1800
532	2050	1796
533	2054	1793
534	2057	1788
535	2061	1784
536	2065	1780
537	2068	1776
538	2071	1771
539	2074	1767
540	2078	1763
541	2081	1759
542	2084	1754
543	2087	1750
544	2091	1745
545	2094	1741
546	2098	1737
547	2101	1733
548	2104	1728
549	2107	1724
550	2111	1720
551	2114	1716
552	2117	1711
553	2120	1707
554	2123	1702
555	2127	1699
556	2131	1695
557	2134	1690
558	2137	1686
559	2141	1682
560	2144	1678
561	2147	1673
562	2150	1669
563	2153	1665
564	2157	1661
565	2160	1656
566	2163	1652
567	2167	1648
568	2170	1643
569	2173	1639
570	2177	1635
571	2180	1631
572	2183	1627
573	2186	1622
574	2190	1618
575	2193	1614
576	2196	1610
577	2199	1606
578	2202	1601
579	2206	1597
580	2209	1593
581	2212	1589
582	2215	1584
583	2218	1580
584	2222	1576
585	2226	1572
586	2229	1568
587	2232	1564
588	2236	1560
589	2240	1557
590	2244	1553
591	2247	1548
592	2250	1544
593	2255	1541
594	2259	1537
595	2262	1533
596	2266	1530
597	2270	1526
598	2274	1522
599	2278	1518
600	2281	1514
601	2284	1510
602	2288	1506
603	2291	1502
604	2294	1498
605	2298	1494
606	2302	1490
607	2305	1486
608	2308	1482
609	2311	1477
610	2314	1473
611	2318	1469
612	2321	1465
613	2324	1461
614	2328	1457
615	2331	1453
616	2334	1449
617	2339	1445
618	2342	1442
619	2345	1437
620	2349	1433
621	2353	1430
622	2356	1425
623	2359	1421
624	2362	1417
625	2365	1413
626	2369	1409
627	2372	1405
628	2375	1401
629	2379	1397
630	2382	1393
631	2385	1389
632	2389	1385
633	2392	1380
634	2395	1376
635	2398	1372
636	2402	1368
637	2405	1364
638	2408	1360
639	2411	1356
640	2414	1352
641	2418	1348
642	2421	1344
643	2424	1340
644	2427	1336
645	2431	1332
646	2437	1329
647	2440	1325
648	2443	1321
649	2447	1317
650	2451	1314
651	2455	1310
652	2459	1306
653	2463	1303
654	2468	1300
655	2472	1296
656	2475	1292
657	2478	1288
658	2482	1284
659	2485	1280
660	2488	1276
661	2491	1272
662	2495	1268
663	2498	1264
664	2501	1260
665	2504	1256
666	2507	1252
667	2511	1248
668	2515	1244
669	2518	1240
670	2521	1236
671	2524	1232
672	2528	1228
673	2532	1224
674	2535	1220
675	2539	1216
676	2542	1212
677	2546	1209
678	2550	1205
679	2553	1201
680	2556	1197
681	2559	1193
682	2563	1189
683	2566	1185
684	2569	1181
685	2572	1177
686	2576	1173
687	2579	1169
688	2582	1165
689	2585	1161
690	2588	1157
691	2592	1153
692	2595	1150
693	2598	1145
694	2602	1141
695	2605	1137
696	2608	1134
697	2612	1130
698	2615	1126
699	2618	1122
700	2621	1118
701	2625	1114
702	2628	1110
703	2632	1106
704	2636	1103
705	2640	1099
706	2645	1096
707	2649	1092
708	2653	1089
709	2657	1085
710	2661	1081
711	2664	1077
712	2668	1073
713	2671	1070
714	2675	1066
715	2679	1062
716	2682	1058
717	2685	1054
718	2690	1051
719	2693	1047
720	2696	1043
721	2699	1039
722	2702	1035
723	2706	1031
724	2710	1027
725	2713	1023
726	2716	1019
727	2719	1015
728	2723	1012
729	2726	1008
730	2729	1004
731	2732	1000
732	2736	996
733	2740	993
734	2744	989
735	2747	985
736	2750	981
737	2754	977
738	2757	973
739	2760	969
740	2763	966
741	2767	962
742	2771	958
743	2774	954
744	2777	950
745	2780	946
746	2784	942
747	2787	939
748	2791	935
749	2794	931
750	2797	927
751	2801	923
752	2804	920
753	2807	916
754	2810	912
755	2813	908
756	2819	904
757	2822	901
758	2825	897
759	2828	893
760	2832	889
761	2837	886
762	2840	882
763	2843	878
764	2846	874
765	2852	871
766	2856	867
767	2859	863
768	2889	867
769	2893	864
770	2903	862
771	2907	858
772	2910	854
773	2914	851
774	2917	847
775	2921	843
776	2924	839
777	2927	835
778	2931	831
779	2934	827
780	2937	823
781	2940	819
782	2943	815
783	2947	812
784	2951	808
785	2954	804
786	2957	800
787	2960	796
788	2965	792
789	2968	789
790	2971	785
791	2974	781
792	2978	777
793	2981	773
794	2984	769
795	2987	765
796	2990	761
797	2994	758
798	2997	754
799	3000	750
800	3004	746
801	3007	742
802	3010	738
803	3014	734
804	3017	730
805	3020	726
806	3023	723
807	3027	719
808	3030	715
809	3034	711
810	3037	707
811	3041	704
812	3045	700
813	3049	696
814	3053	693
815	3057	689
816	3062	685
817	3066	682
818	3069	678
819	3072	674
820	3076	670
821	3079	666
822	3083	663
823	3086	659
824	3089	655
825	3093	651
826	3096	647
827	3099	643
828	3103	640
829	3105	636
830	3110	632
831	3113	628
832	3116	624
833	3119	620
834	3123	617
835	3126	613
836	3129	609
837	3133	605
838	3136	601
839	3141	598
840	3144	594
841	3147	590
842	3150	586
843	3153	582
844	3158	579
845	3161	575
846	3164	571
847	3167	567
848	3171	564
849	3175	560
850	3179	556
851	3182	552
852	3185	548
853	3189	545
854	3192	541
855	3196	537
856	3199	533
857	3202	529
858	3206	526
859	3209	522
860	3212	518
861	3215	514
862	3219	511
863	3222	507
864	3225	503
865	3229	499
866	3232	495
867	3237	492
868	3240	488
869	3243	484
870	3246	480
871	3250	477
872	3256	473
873	3259	469
874	3263	466
875	3266	462
876	3271	458
877	3274	455
878	3277	451
879	3281	447
880	3285	443
881	3288	439
882	3291	436
883	3294	432
884	3297	428
885	3301	424
886	3304	421
887	3308	417
888	3311	413
889	3314	409
890	3318	405
891	3321	402
892	3325	398
893	3328	394
894	3331	390
895	3335	387
896	3338	383
